,Sentence1,Sentence2,Sentence1_embedding,Sentence2_embedding
123,The snakes slither silently,The snakes slithered silently,"[ 1.6003125  -0.2213376   0.19987628 ... -1.0958726  -1.3922459
  3.5319011 ]","[ 1.2643541  -0.26960644  0.63926965 ... -1.1185503  -1.0290464
  3.2091541 ]"
124,The lizards bask in the sun,The lizards basked in the sun,"[-2.62224    -0.15043174  0.79848623 ...  0.35327074 -1.4100007
  4.503251  ]","[-2.827818    0.34201047  1.1423283  ... -0.04718829 -1.7636403
  4.472849  ]"
125,The fish swim in the water,The fish swam in the water,"[-0.86899537  3.090333   -0.93523455 ...  1.0662122  -4.453021
  2.6740284 ]","[-0.9489047   1.566172   -0.21489464 ...  0.19189863 -3.341623
  1.8151226 ]"
126,The whales sing underwater,The whales sang underwater,"[-0.34268582  3.9349256   3.068478   ... -0.55933464 -2.0504825
 -1.5783181 ]","[-0.18891859  3.2180312   1.5379432  ... -1.252297   -1.0053681
 -1.1985893 ]"
127,The dolphins leap and play,The dolphins leaped and played,"[-0.288503    3.2104015  -0.6129767  ... -0.27853593 -3.987548
  3.6348996 ]","[-0.70509315  3.832249    0.01667237 ... -1.8353418  -2.5521467
  2.4584534 ]"
128,The sharks swim powerfully,The sharks swam powerfully,"[-0.6206159   1.8150756  -0.73415464 ... -2.0260324  -5.1026535
  2.1724052 ]","[-0.49570957  0.24030824  0.12520601 ... -1.2336532  -3.2889593
  0.93085265]"
129,The jellyfish drift aimlessly,The jellyfish drifted aimlessly,"[ 1.3795296  -1.5904039   2.541714   ... -0.34858167 -2.1702206
 -0.18172403]","[ 0.64986515 -1.2628092   1.7020344  ... -0.67696166 -2.5889108
 -0.41291332]"
130,The crabs scuttle sideways,The crabs scuttled sideways,"[ 1.4912893   1.3998698   1.3522755  ...  0.04968834 -0.5151718
  1.7405424 ]","[ 1.1233901   1.0598109   1.5238397  ... -0.06117541 -0.01926131
  1.2201507 ]"
131,The seagulls fly overhead,The seagulls flew overhead,[ 1.5529345  1.0206889  0.8910332 ... -1.1000191 -1.7903687  1.4409934],[ 1.5866637  1.3376613  1.3131133 ... -1.4318067 -1.1310915  1.4869009]
132,The pelicans dive for fish,The pelicans dived for fish,"[-0.9280761   2.587735   -0.04515858 ... -1.298789   -2.2923439
  1.7744528 ]",[-1.5606899  2.284695  -0.3054681 ... -1.0079359 -1.3808604  2.244732 ]
133,The penguins waddle on ice,The penguins waddled on ice,"[-1.2950305  -1.2048247   0.16079126 ... -0.6726674  -0.31110734
  0.9567829 ]","[-1.54135    -1.2841818  -0.4544801  ... -0.73693895  0.06560695
  1.4324353 ]"
134,The polar bears swim in the ocean,The polar bears swam in the ocean,[-0.1936111  2.5066867 -2.020823  ... -0.2706474 -1.197632   1.8252755],"[ 0.03537337  1.829063   -1.7014581  ... -0.5073364  -1.5291924
  2.0971768 ]"
135,The seals bask on rocks,The seals basked on rocks,"[-0.86261445  1.1379994  -0.08513604 ... -0.74999774  0.40336642
  1.3938522 ]","[-1.4203402   1.1362535   0.26771793 ... -1.0163616   0.43085334
  1.6729792 ]"
136,The walruses haul out on land,The walruses hauled out on land,"[-0.72101295 -2.187344    1.186639   ...  0.32105246  2.6768289
  0.6857307 ]","[-1.1487367  -1.5375862   0.5378177  ...  0.41480938  3.2403772
  1.1566069 ]"
137,The reindeer roam the tundra,The reindeer roamed the tundra,"[ 0.6583012  -1.5129324  -0.86466897 ... -2.1779194  -0.04405269
 -0.24436681]","[ 0.5424537  -0.41249782  0.09529237 ... -2.0630414   0.10109352
  0.30089432]"
138,The arctic foxes hunt lemmings,The arctic foxes hunted lemmings,"[ 1.7704275   0.65633893  0.84916794 ... -2.5022044  -0.9671741
  0.87435484]","[ 1.4316579   0.98185444  0.73553646 ... -2.5107543  -0.16940835
  0.6983263 ]"
139,The snowy owls hunt at night,The snowy owls hunted at night,"[-0.8433663  -1.4422141   0.0443644  ... -3.3576515  -0.40212032
  0.29429725]","[-1.0501727  -0.8558696  -0.43052787 ... -3.589011    0.13409723
  0.18234959]"
140,The musk oxen graze on lichen,The musk oxen grazed on lichen,[-2.5039997  1.4944017  1.7038078 ... -0.8125936 -2.0108302  2.8797708],"[-2.005453    0.70016885  1.3842452  ... -1.7263191  -1.636379
  2.9090896 ]"
141,The caribou migrate across the plains,The caribou migrated across the plains,"[ 0.02526017  3.7489161  -0.7583554  ... -1.6485687  -1.1594503
  2.2129629 ]","[-0.14786375  3.402019   -0.6741129  ... -1.5339686  -0.06705775
  2.9736404 ]"
142,The whales breach the water,The whales breached the water,"[-1.9758751   1.9311396   1.4098853  ... -2.5991378  -2.793801
  0.23920412]","[-2.2095132   2.3526397   1.0635478  ... -2.2633858  -2.3475103
  0.76585186]"
143,The dolphins communicate with clicks,The dolphins communicated with clicks,[ 2.672049   6.2558203  4.1380057 ...  1.1165648 -3.9550335 -0.7507326],"[ 1.665128    6.6490707   3.1296806  ...  0.31255758 -2.080048
 -0.66524017]"
144,The sharks hunt in packs,The sharks hunted in packs,"[-0.970013    1.3722118   1.00612    ... -0.97973764 -2.9606729
  1.8965527 ]","[-0.656425    1.6560081   0.69632643 ... -0.78663874 -1.8844235
  1.2619452 ]"
145,The jellyfish pulsate gently,The jellyfish pulsated gently,"[ 0.39271876  1.3749236   2.8492792  ...  0.31813478 -5.217629
  2.2950246 ]","[ 0.3856984   0.73241585  2.147486   ...  0.03281403 -4.670786
  2.383135  ]"
146,The crabs defend their burrows,The crabs defended their burrows,"[ 1.8904637   2.607216   -0.34427857 ...  0.15854739 -0.99634826
  1.7111818 ]","[ 1.9338872   1.8852068  -0.8377609  ... -0.21235447 -0.7572282
  2.1026473 ]"
147,The seagulls search for food,The seagulls searched for food,"[ 1.0738838   2.1930652   2.0768356  ... -0.99593216 -1.4170793
  0.6597096 ]","[ 1.0641603   2.2491753   1.6683193  ... -1.1102669  -1.0488093
  0.66166484]"
148,The pelicans carry fish in their pouches,The pelicans carried fish in their pouches,"[-2.424739    2.5859928   1.0866266  ... -2.7659197  -0.68444467
  1.6084367 ]",[-1.5436192  2.0513058  1.1401705 ... -2.8517666  0.2645858  1.2828467]
149,The penguins protect their young,The penguins protected their young,"[ 0.41915536  2.8597734   3.011856   ... -0.09059449 -0.9949737
  1.6929568 ]","[ 0.5886437   0.82635933  2.1605988  ... -1.1317205   0.10641259
  2.0531378 ]"
150,The polar bears hunt seals,The polar bears hunted seals,"[ 0.62862813  2.470327    0.58531296 ... -2.1620414  -1.4594427
  1.613245  ]","[ 0.44197828  2.6821902   0.17413025 ... -2.7429225  -0.61584055
  1.2290869 ]"
151,The seals slip into the water,The seals slipped into the water,"[ 0.66165686  3.1145308   0.79361504 ... -1.0631105   0.81332916
  0.6688369 ]","[ 0.6056986   3.3359244   0.85203165 ... -1.045892    1.8074054
  0.28403932]"
152,The walruses use their tusks,The walruses used their tusks,"[ 0.26056486  1.7423282   2.643221   ... -0.7982294   1.4133964
  0.7418301 ]","[-0.14972164  1.134711    1.3960546  ... -1.0762647   2.2118711
  1.0288512 ]"
153,The reindeer have thick coats,The reindeer had thick coats,"[ 0.80463934  2.4314177   0.3788351  ... -4.8288865  -2.084322
 -0.92112964]","[ 0.12686653  1.9795618   0.47461268 ... -4.370543   -0.9735575
 -0.4004353 ]"
154,The arctic foxes have white fur,The arctic foxes had white fur,[ 1.6243864  1.036546   1.6906832 ... -3.4039292 -1.2635132  1.5955875],"[ 1.1123623   0.5980183   1.2913005  ... -2.9410684  -0.99116254
  2.1499677 ]"
155,The snowy owls have excellent hearing,The snowy owls had excellent hearing,"[-0.67685807  1.0539697   0.03569829 ... -4.0333004  -0.45466048
  0.30299738]","[-0.92932117  0.52047837  0.29050776 ... -3.5652974   0.43703386
  0.7524996 ]"
156,The musk oxen have thick horns,The musk oxen had thick horns,[-2.037408   1.9208046  2.3878543 ... -3.4543104 -2.1029131  1.5302496],[-2.3284032  1.7075025  2.3911664 ... -3.2465603 -1.311399   1.6606121]
157,The caribou have large antlers,The caribou had large antlers,"[-0.05140647  3.3695173   0.33524978 ... -2.0620716  -1.1619256
  1.2841501 ]","[-0.38742942  3.0077736   0.39254957 ... -1.6598725  -0.44447625
  1.3322601 ]"
158,He speaks quietly,He spoke quietly,[-1.5610914  5.427916   1.7175881 ...  0.697699  -4.013668   3.555936 ],"[-0.10602304  4.197337    1.6651425  ... -0.6974313  -2.7177734
  3.6538544 ]"
159,She writes a letter,She wrote a letter,"[ 1.96646     2.812202    0.19876093 ... -1.1978298  -1.9632876
  2.4998589 ]","[ 1.3810017   2.7702694  -0.05556667 ... -1.9311119  -0.32055154
  2.1651444 ]"
160,They walk briskly,They walked briskly,"[ 1.5024042  -2.5366955  -2.4850385  ... -1.1754156   0.7822318
  0.94795233]","[ 1.1118383  -1.8927677  -2.4437675  ... -1.7134366   2.252449
  0.24451014]"
161,We run quickly,We ran quickly,"[ 0.95153856  2.1834028  -0.9926446  ...  0.4726887  -1.7494426
  2.822976  ]","[ 0.05193464  1.885785   -1.0525028  ... -1.4011432  -1.1711329
  2.4988556 ]"
162,I jump high,I jumped high,"[ 0.06959748  2.159703    0.29362717 ... -1.7782527  -2.7551143
  4.954552  ]","[-0.6082391   1.9793333   0.24300086 ... -2.1601646  -1.2280706
  4.933682  ]"
163,You sing beautifully,You sang beautifully,"[-0.6685853   6.3502884  -0.72173977 ... -2.6000926  -2.8031495
  2.005276  ]","[-0.342461    5.158242   -0.35548303 ... -4.397928   -1.5373179
  2.3949316 ]"
164,It rains heavily,It rained heavily,[-1.0312061  1.8187313  1.9894114 ... -1.0230883 -2.8029299  2.2464554],"[-1.4124066   1.0809919   0.97949374 ... -0.8327589  -1.7836204
  2.149394  ]"
165,He reads intently,He read intently,"[-1.5886879   3.9264286   0.9312396  ... -0.07595426 -0.5426291
  2.8108153 ]","[-1.6503167   3.160704    0.9006257  ... -0.41278702  0.708
  2.6214662 ]"
166,She listens carefully,She listened carefully,"[-4.4130883e-03  4.7544274e+00  2.9927099e+00 ... -6.2002629e-01
 -2.2424018e+00  3.5194528e+00]","[ 0.16106586  3.4337063   2.5889874  ... -0.37069106 -1.4770737
  3.8234055 ]"
167,They observe keenly,They observed keenly,"[-1.4544715   1.5644655   1.7372969  ... -0.20451213 -1.6432959
  3.3075323 ]",[-1.711076   1.3764802  2.4127061 ... -1.0143094 -1.1642829  2.728701 ]
168,We learn diligently,We learned diligently,[-2.0423677  2.933604   1.0752534 ... -0.266843  -2.614416   4.3987594],[-3.0975215  1.7434937  0.4005327 ... -1.0873709 -1.5010728  3.6172683]
169,I understand easily,I understood easily,"[-0.21806896  2.1751428   0.40204582 ... -0.84681505 -0.48931336
  2.6859877 ]","[-0.4140278   1.6190209   0.35404372 ... -1.8183373  -0.01342686
  2.5196018 ]"
170,You explain clearly,You explained clearly,"[-0.03482322  4.5875754  -0.27607504 ... -1.7645565  -1.6169835
  3.2729053 ]","[ 0.33429718  4.621555    0.2794598  ... -2.886407   -0.6502288
  2.9233024 ]"
171,It happens frequently,It happened frequently,"[-0.9296894  -2.3293426   2.3525498  ...  0.11733858 -1.8096094
  2.4836094 ]","[ 0.03640367 -1.6564975   1.2552277  ... -0.84254414 -1.7749206
  2.24353   ]"
172,He works steadily,He worked steadily,"[-0.19887821  0.96961576  0.94076395 ... -0.78252316 -1.71798
  4.834287  ]","[-0.39901114  1.2148308   1.043237   ... -0.826077   -0.14421289
  4.367621  ]"
173,She plays skillfully,She played skillfully,"[ 1.0419521   3.0451396  -0.28154016 ... -2.970049   -2.8903532
  4.4749875 ]","[ 0.58330667  2.5508354  -0.36703652 ... -3.2464952  -1.3521359
  4.570717  ]"
174,They dance gracefully,They danced gracefully,"[-0.8464224   0.5997071  -1.1644977  ... -0.03987255 -1.8556818
  3.905545  ]","[ 0.04656537 -0.0272251  -1.1640742  ... -1.1241198  -0.19184287
  3.4095924 ]"
175,We cook deliciously,We cooked deliciously,"[-2.6951501  -0.32859993 -0.68427444 ... -0.52725124 -2.7283764
  2.7833974 ]",[-2.4387875 -0.645322  -1.5179497 ... -1.8497114 -2.3709753  2.25504  ]
176,I bake expertly,I baked expertly,"[-2.1130252   2.3028758   0.22498411 ... -2.0462835   0.44456306
  3.8911371 ]","[-1.8787534   1.325717    0.73198783 ... -2.4465706   0.94977075
  3.6982648 ]"
177,You sew neatly,You sewed neatly,"[ 3.1919544   3.0357106   0.84431773 ... -1.4806787  -0.8484271
  1.8122796 ]","[ 2.495891    2.9205725   1.213634   ... -1.4320326  -0.13771284
  0.86169267]"
178,It grows rapidly,It grew rapidly,[ 2.0452619  3.3224552  1.335265  ... -0.8349722 -1.0612575  1.8235936],"[ 1.0497978   2.2824385   0.6437251  ... -1.2833381  -0.25972998
  2.1126328 ]"
179,He paints vividly,He painted vividly,"[-2.7732687  -0.95619786  1.2184618  ... -2.972569   -1.466213
 -0.37038976]","[-2.1290965  -1.0205907   0.38469532 ... -3.051612    0.21852508
 -1.0472877 ]"
180,She draws precisely,She drew precisely,"[ 0.20072055  2.2610595  -0.340269   ... -0.5685181   0.9688759
  2.9179668 ]","[-0.30854368  1.5453497  -0.67368025 ... -0.40631366  2.2941682
  2.1091502 ]"
181,They sculpt masterfully,They sculpted masterfully,[-3.3283954  2.6314948  1.2902584 ... -1.168794  -1.633482   2.5652397],[-3.6375499  2.5835578  1.2758267 ... -1.0542165 -0.997807   2.0316453]
182,We compose beautifully,We composed beautifully,"[-0.52910155  2.5383394  -1.2542217  ... -1.8805199  -0.9836684
  1.7831392 ]","[-0.07618912  2.4808528  -0.1815021  ... -2.0837777  -0.6884621
  1.614436  ]"
183,I sing passionately,I sang passionately,"[-0.48637405  3.2831717  -0.17019208 ... -1.1145834  -3.3675773
  1.2036718 ]","[-0.69913656  3.4758024  -0.56534415 ... -2.2926872  -2.2707412
  1.5139111 ]"
184,You play passionately,You played passionately,"[ 0.01590236  3.5671883  -1.1209947  ... -3.5825632   0.19497676
  4.486339  ]","[-0.81541187  4.006177   -1.1407447  ... -3.9653661   0.40818632
  4.552325  ]"
185,It shines brilliantly,It shone brilliantly,[-0.3956907  4.1612487  0.8264553 ... -0.8304341 -2.8169477  2.6950834],"[-0.9818098   3.617415    0.29867852 ... -1.5355854  -2.7362208
  2.0904505 ]"
186,He performs brilliantly,He performed brilliantly,"[-0.76386255  2.7018082  -0.5127755  ... -2.6572092  -2.0540328
  3.8333952 ]",[-0.994628   3.6278076 -1.4526306 ... -3.4607098 -2.043737   3.5528119]
187,She acts convincingly,She acted convincingly,"[ 1.8296359   3.5320277  -0.55705804 ... -2.0512154  -3.9669738
  2.9199615 ]",[ 1.5384849  3.4340966 -1.0147504 ... -2.9859622 -2.5661561  2.7463627]
188,They react spontaneously,They reacted spontaneously,"[ 1.4138407   7.2247467  -0.01265995 ...  0.6089033  -3.6555834
  2.0808418 ]","[ 0.45777854  6.7637687  -0.2017246  ... -1.117085   -2.2225578
  1.9223442 ]"
189,We respond thoughtfully,We responded thoughtfully,"[-0.62760866  5.304543    0.22963229 ... -0.8461234  -3.9005208
  0.556462  ]","[-0.6894996   3.2177598  -0.25193977 ... -2.015687   -3.2693312
  1.2052326 ]"
190,I dream vividly,I dreamt vividly,"[-1.0618795  -1.6576438  -0.6957371  ... -2.3846958  -0.10646939
  1.437926  ]",[-0.8269526 -2.1905746 -1.7499096 ... -3.293506   0.7494148  1.5906324]
191,You think deeply,You thought deeply,[-3.2834995  3.0785246  0.6336694 ... -1.3028384 -1.4067641  3.0720434],"[-2.5794814   1.7986231   0.38375923 ... -1.6971668   0.7850294
  3.4100678 ]"
192,It feels smooth,It felt smooth,"[-0.57639986  0.7625561   0.62890583 ... -1.7683358   1.1780905
 -0.7863319 ]","[ 0.22956204  0.7194106   0.97719544 ... -2.0960543   2.4235537
 -0.7553571 ]"
193,He tastes delicious food,He tasted delicious food,"[-1.2303909   5.1139436   3.0472035  ... -0.7987515  -0.62127197
  1.8816552 ]","[-0.7792742   4.698769    2.3622274  ... -1.3518337   0.35315046
  1.3382257 ]"
194,She smells fragrant flowers,She smelled fragrant flowers,"[ 0.44030517  5.0328913  -0.73835623 ...  1.325035   -4.9110246
  0.505262  ]","[ 0.06564534  5.1844783  -1.6472809  ...  1.8062681  -3.0193024
  0.28571025]"
195,They see colorful birds,They saw colorful birds,"[ 0.3837909   1.8605967   1.1061212  ... -0.29755694 -2.9820366
  2.0286725 ]","[ 0.66368705  1.7093658   1.1411266  ... -0.4768737  -1.7132988
  1.4999685 ]"
196,We hear soft music,We heard soft music,[-2.238253   1.6659353  0.5089113 ... -0.9635352 -1.5012072  2.375955 ],"[-2.8011827   1.6934236  -0.02889729 ... -1.5074239   0.19439936
  2.1336899 ]"
197,I touch soft fur,I touched soft fur,"[-0.00910202  3.2526262   2.0443912  ... -1.1448503  -1.5175569
  1.2351751 ]","[-1.7272966   2.862198    0.98092854 ... -1.7961273  -0.91736096
  2.237329  ]"
198,You feel gentle breezes,You felt gentle breezes,"[ 1.2502093   3.5794911  -2.06228    ...  1.2677739   0.44367582
  0.48033804]","[ 1.6731958   2.6114562  -1.9583775  ...  0.5113693   1.7024319
  0.45538473]"
199,It looks amazing,It looked amazing,"[-2.237741    0.17578979  0.9997718  ... -1.5327649  -2.3992126
  2.1120243 ]","[-2.2378044  -0.14570785  0.39963326 ... -1.6139163  -2.295161
  1.9468956 ]"
200,He feels content,He felt content,"[-0.16645223  3.8352482   1.163138   ... -1.1623572   0.18824625
  2.7418344 ]",[-0.6425593  2.9945128  0.8656032 ... -1.478612   1.0842313  2.3443086]
201,She appears happy,She appeared happy,"[ 0.92076606  1.7045473   2.12806    ... -2.6516917  -2.8506968
  4.4765687 ]",[ 0.632281   1.488211   1.7104325 ... -2.5172489 -1.9726714  5.2011485]
202,They seem excited,They seemed excited,"[-0.19300556  2.1026409   1.3623546  ... -1.7397169  -1.1823153
  3.2888927 ]","[-0.18767194  2.4124866   1.7038702  ... -1.9861561  -0.10462943
  4.075607  ]"
203,We remain calm,We remained calm,"[-0.14320135  5.2550244   1.3545262  ... -1.5409694  -2.5690339
  2.7592916 ]","[ 1.0488188   2.1604984   2.106081   ... -1.0214028  -0.35752463
  3.3745487 ]"
204,I stay focused,I stayed focused,[ 1.3682384  1.8014892  3.3505    ... -2.0147767 -1.0506313  1.8912631],"[ 0.7342165   1.3878511   2.6068146  ... -2.5160198   0.96313757
  2.6691713 ]"
205,You become stronger,You became stronger,"[-0.30431473  8.737859    1.0904974  ... -0.7054179   0.30361405
  4.0106893 ]",[-1.1815553  8.241128   1.0934135 ... -1.2637256  0.8378484  4.027344 ]
206,It gets colder,It got colder,"[ 1.4632359   1.2397352   1.1114124  ... -1.7772512  -0.50666827
  2.6950514 ]","[ 1.375783    0.6644805   0.28076425 ... -1.2573272   0.09361575
  2.9022865 ]"
207,He stays longer,He stayed longer,[2.296784  1.2230808 2.4813998 ... 0.1843965 0.2054923 2.50371  ],[1.6609074  1.0413604  2.2441547  ... 0.10901722 0.9379096  2.9391663 ]
208,She goes faster,She went faster,"[ 4.5174346   3.1686752   1.788592   ... -2.219571   -0.68085504
  2.2639654 ]","[ 3.6281357   2.388847    1.4217087  ... -2.485802    0.18021704
  2.456329  ]"
209,They arrive early,They arrived early,[ 1.6822542  1.7784773  0.6871602 ... -1.377004  -0.7641489  5.31247  ],"[ 1.2544957   1.2938448   0.8012803  ... -1.7988027   0.10802373
  6.128858  ]"
210,We leave immediately,We left immediately,[-0.482432   3.8442795  0.704606  ... -0.4085023  0.8201392  3.0492766],"[-0.34540066  2.237586    0.05916889 ... -0.679179    1.4698051
  2.9656162 ]"
211,I begin promptly,I began promptly,"[ 1.0321488   1.2841598   0.18838549 ... -1.4656081   0.18383758
  2.057494  ]","[ 0.6005948   0.81816864 -0.5919593  ... -0.7846889   0.01887695
  0.65057045]"
212,You finish quickly,You finished quickly,[ 0.6205609  3.7109115  0.7170474 ... -0.577742   2.4162471  3.472833 ],"[-0.43826917  3.4582043   0.17706738 ... -0.7496709   2.5591753
  3.1115968 ]"
213,It ends abruptly,It ended abruptly,"[ 1.5597094   0.21855347  0.80893725 ... -1.2858901  -0.14778565
  1.1064812 ]","[ 0.12192854  0.1413099   0.04818408 ... -0.9105265  -0.16272925
  2.131945  ]"
214,He starts slowly,He started slowly,"[ 1.6270628   1.9854345   1.3540769  ... -0.05959019  0.44478393
  1.9175583 ]","[ 0.59548825  2.353396    0.66650885 ... -0.22834575  0.69036674
  1.7967821 ]"
